sample number,sample code,strain,substrate,wet weight,dry weight,strain substrate
9,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.6,6.2,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
10,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,7.5,7.2,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
11,E_w_2,Ganoderma spp.,hardwood pellets wheat calcium sulfate,6.8,6.5,"Ganoderma spp., hardwood pellets wheat calcium sulfate"
1,G,Ganoderma spp.,kenaf,5.56,1.13,"Ganoderma spp., kenaf"
2,G,Ganoderma spp.,kenaf,4.81,1.15,"Ganoderma spp., kenaf"
3,G,Ganoderma spp.,kenaf,5.37,1.18,"Ganoderma spp., kenaf"
4,G,Ganoderma spp.,kenaf,4.95,1.12,"Ganoderma spp., kenaf"
5,G,Ganoderma spp.,kenaf,5.6,1.07,"Ganoderma spp., kenaf"
6,G,Ganoderma spp.,kenaf,5.68,1.14,"Ganoderma spp., kenaf"
7,G,Ganoderma spp.,kenaf,4.68,1.04,"Ganoderma spp., kenaf"
8,G,Ganoderma spp.,kenaf,5.23,1.08,"Ganoderma spp., kenaf"
9,G,Ganoderma spp.,kenaf,5.71,1.06,"Ganoderma spp., kenaf"
10,G,Ganoderma spp.,kenaf,6.82,1.35,"Ganoderma spp., kenaf"
11,G,Ganoderma spp.,kenaf,4.65,1.11,"Ganoderma spp., kenaf"
12,G,Ganoderma spp.,kenaf,5.23,1.2,"Ganoderma spp., kenaf"
13,G,Ganoderma spp.,kenaf,5.48,1.12,"Ganoderma spp., kenaf"
14,G,Ganoderma spp.,kenaf,5.46,1.12,"Ganoderma spp., kenaf"
15,G,Ganoderma spp.,kenaf,5.78,1.08,"Ganoderma spp., kenaf"
16,G,Ganoderma spp.,kenaf,5.43,1.17,"Ganoderma spp., kenaf"
17,G,Ganoderma spp.,kenaf,3.94,1.02,"Ganoderma spp., kenaf"
18,G,Ganoderma spp.,kenaf,4.75,1.13,"Ganoderma spp., kenaf"
19,G,Ganoderma spp.,kenaf,3.9,1.08,"Ganoderma spp., kenaf"
20,G,Ganoderma spp.,kenaf,5.09,1.04,"Ganoderma spp., kenaf"
21,G,Ganoderma spp.,kenaf,5.71,1.19,"Ganoderma spp., kenaf"
22,G,Ganoderma spp.,kenaf,5.36,1.02,"Ganoderma spp., kenaf"
23,G,Ganoderma spp.,kenaf,3.86,1.06,"Ganoderma spp., kenaf"
24,G,Ganoderma spp.,kenaf,3.88,1.06,"Ganoderma spp., kenaf"
25,G,Ganoderma spp.,kenaf,4.17,1.08,"Ganoderma spp., kenaf"
